dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt4o_context_with_symptom_dataset,0,context,4o,False,True,0.034481484442949295,0.6842105263157895,0.6770833333333334,0.6806282722513088,0.9958189655172414,2.0412,472.752,7.838,50.0
dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt4o_context_with_symptom_dataset,0,context,4o,False,True,0.034481484442949295,0.6842105263157895,0.6770833333333334,0.6806282722513088,0.9958189655172414,2.0015,482.14,7.994,50.0
dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt4o_context_with_symptom_dataset,0,context,4o,False,True,0.034481484442949295,0.6842105263157895,0.6770833333333334,0.6806282722513088,0.9958189655172414,2.0069,480.83,7.972,50.0
dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt4o_context_with_symptom_dataset,0,context,4o,False,True,0.034481484442949295,0.6842105263157895,0.6770833333333334,0.6806282722513088,0.9958189655172414,2.0207,477.568,7.918,50.0
dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt4o_context_with_symptom_dataset,0,context,4o,False,True,0.034481484442949295,0.6842105263157895,0.6770833333333334,0.6806282722513088,0.9958189655172414,2.0038,481.594,7.985,50.0
dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt4o_context_with_symptom_dataset,0,context,4o,False,True,0.034481484442949295,0.6842105263157895,0.6770833333333334,0.6806282722513088,0.9958189655172414,2.067,466.871,7.741,50.0
dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt4o_context_with_symptom_dataset,0,context,4o,False,True,0.034481484442949295,0.6842105263157895,0.6770833333333334,0.6806282722513088,0.9958189655172414,2.0064,480.96,7.974,50.0
dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt4o_context_with_symptom_dataset,0,context,4o,False,True,0.034481484442949295,0.6842105263157895,0.6770833333333334,0.6806282722513088,0.9958189655172414,2.013,479.394,7.949,50.0
dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt4o_context_with_symptom_dataset,0,context,4o,False,True,0.034481484442949295,0.6842105263157895,0.6770833333333334,0.6806282722513088,0.9958189655172414,2.024,476.786,7.905,50.0
dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt4o_context_with_symptom_dataset,0,context,4o,False,True,0.034481484442949295,0.6842105263157895,0.6770833333333334,0.6806282722513088,0.9958189655172414,2.0151,478.886,7.94,50.0
dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt4o_context_with_symptom_dataset,0,context,4o,False,True,0.034481484442949295,0.6842105263157895,0.6770833333333334,0.6806282722513088,0.9958189655172414,2.0293,475.542,7.885,50.0
dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt4o_context_with_symptom_dataset,0,context,4o,False,True,0.034481484442949295,0.6842105263157895,0.6770833333333334,0.6806282722513088,0.9958189655172414,2.0117,479.682,7.953,50.0
dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt4o_context_with_symptom_dataset,0,context,4o,False,True,0.034481484442949295,0.6842105263157895,0.6770833333333334,0.6806282722513088,0.9958189655172414,2.0062,481.002,7.975,50.0
2024_gpt4o_context_with_symptom_dataset,0,context,4o,False,True,0.03441261872649193,0.6931818181818182,0.6354166666666666,0.6630434782608696,0.9954741379310345,2.0184,478.112,7.927,50.0
2024_gpt4o_context_with_symptom_dataset,1,context,4o,False,True,0.03454790636897087,0.6853932584269663,0.6354166666666666,0.6594594594594595,0.9955172413793103,2.0328,474.725,7.871,50.0
2024_gpt4o_context_with_symptom_dataset,2,context,4o,False,True,0.04003769904375076,0.6966292134831461,0.6458333333333334,0.6702702702702703,0.9953879310344828,2.025,476.542,7.901,50.0
2024_gpt4o_context_with_symptom_dataset,3,context,4o,False,True,0.032480932772159576,0.6559139784946236,0.6354166666666666,0.6455026455026455,0.9955603448275862,2.0692,466.367,7.733,50.0
2024_gpt4o_context_with_symptom_dataset,4,context,4o,False,True,0.033880654722452164,0.7011494252873564,0.6354166666666666,0.6666666666666666,0.9953448275862069,2.027,476.076,7.893,50.0
2024_gpt4o_context_with_symptom_dataset,5,context,4o,False,True,0.03684801235795021,0.6941176470588235,0.6145833333333334,0.6519337016574587,0.995301724137931,2.0308,475.18,7.879,50.0
2024_gpt4o_context_with_symptom_dataset,6,context,4o,False,True,0.03357275202870369,0.7078651685393258,0.65625,0.681081081081081,0.9957758620689655,2.0385,473.399,7.849,50.0
2024_gpt4o_context_with_symptom_dataset,7,context,4o,False,True,0.03256736695766449,0.7011494252873564,0.6354166666666666,0.6666666666666666,0.9957327586206897,2.0522,470.234,7.797,50.0
2024_gpt4o_context_with_symptom_dataset,8,context,4o,False,True,0.040395770221948624,0.7142857142857143,0.625,0.6666666666666666,0.9951724137931034,2.0096,480.194,7.962,50.0
2024_gpt4o_context_with_symptom_dataset,9,context,4o,False,True,0.023209000006318092,0.7567567567567568,0.5833333333333334,0.6588235294117648,0.9957758620689655,2.023,477.019,7.909,50.0
